"","GAIa","GAIb","GAIIa","GAIIb","GAIII"
"102",0.429608127721335,0.432510885341074,0.541044776119403,0.586021505376344,0.0653120464441219
"93",0.438316400580552,0.402031930333817,0.559701492537313,0.586021505376344,0.0609579100145138
"72",0.432510885341074,0.407837445573295,0.544776119402985,0.596774193548387,0.0507982583454282
"142",0.415094339622642,0.413642960812772,0.511194029850746,0.602150537634409,0.06966618287373
"174",0.413642960812772,0.436865021770682,0.511194029850746,0.602150537634409,0.0624092888243832
"68",0.436865021770682,0.413642960812772,0.57089552238806,0.596774193548387,0.0551523947750363
"166",0.44121915820029,0.387518142235123,0.57089552238806,0.596774193548387,0.0537010159651669
"84",0.426705370101597,0.407837445573295,0.511194029850746,0.591397849462366,0.0667634252539913
"133",0.41799709724238,0.416545718432511,0.488805970149254,0.559139784946237,0.0653120464441219
"105",0.422351233671988,0.388969521044993,0.529850746268657,0.591397849462366,0.0609579100145138
"148",0.433962264150943,0.433962264150943,0.529850746268657,0.575268817204301,0.0711175616835994
"18",0.438316400580552,0.422351233671988,0.548507462686567,0.56989247311828,0.058055152394775
"87",0.429608127721335,0.420899854862119,0.544776119402985,0.564516129032258,0.0595065312046444
"8",0.420899854862119,0.397677793904209,0.567164179104478,0.56989247311828,0.06966618287373
"92",0.428156748911466,0.451378809869376,0.582089552238806,0.67741935483871,0.0522496371552975
"12",0.415094339622642,0.444121915820029,0.48134328358209,0.618279569892473,0.0391872278664731
"61",0.386066763425254,0.452830188679245,0.503731343283582,0.629032258064516,0.06966618287373
"111",0.422351233671988,0.435413642960813,0.514925373134328,0.56989247311828,0.0507982583454282
"20",0.445573294629898,0.41799709724238,0.563432835820896,0.60752688172043,0.0653120464441219
"82",0.402031930333817,0.431059506531205,0.488805970149254,0.596774193548387,0.0377358490566038
"64",0.426705370101597,0.444121915820029,0.477611940298507,0.559139784946237,0.0522496371552975
"113",0.447024673439768,0.433962264150943,0.526119402985075,0.60752688172043,0.0522496371552975
